序号,发布日期,招聘职位,月薪,学历,经验,办公地点,内容
1,2024-05-29,内容生成青年研究员,30-60K·15薪,博士,经验不限,上海,详情
2,2024-05-29,视觉多模态大模型青年研究员,30-60K·15薪,博士,经验不限,上海,详情
3,2024-05-29,大模型训练系统研发工程师,25-50K·15薪,本科,经验不限,上海,详情
4,2024-05-28,深度学习芯片评测工程师,20-40K·15薪,硕士,经验不限,上海,详情
5,2024-05-28,深度学习编译研究工程师,20-40K·15薪,硕士,经验不限,上海,详情
6,2024-05-28,深度学习框架研发工程师（C++）,20-40K·15薪,硕士,经验不限,上海,详情
7,2024-05-28,深度学习框架研发工程师（C++）,20-40K·15薪,本科,1-3年,上海,详情
8,2024-05-28,深度学习训练框架算法工程师,20-40K·15薪,本科,1-3年,上海,详情
9,2024-05-27,多模态大模型算法青年研究员,30-60K·15薪,博士,经验不限,上海,详情
10,2024-05-27,通用3D青年研究员（校招/社招）,30-60K·15薪,硕士,经验不限,上海,详情
11,2024-05-27,大语言模型算法研究员,30-60K·15薪,硕士,3-5年,上海,详情
12,2024-05-25,OpenLMLab算法开发工程师,20-40K·15薪,本科,1-3年,上海,详情
13,2024-05-25,高性能算子研发工程师,20-40K·15薪,本科,1-3年,上海,详情
14,2024-05-24,高校合作高级主管,13-26K·15薪,本科,3-5年,上海,详情
15,2024-05-24,AI训练与计算 AIGC大模型训练研究工程师,25-50K·15薪,硕士,经验不限,上海,详情
16,2024-05-24,大模型安全评测-大模型安全项目经理,20-30K·15薪,本科,经验不限,上海,详情
17,2024-05-24,AI训练与计算 大模型训练系统研发工程师,25-50K·15薪,硕士,经验不限,上海,详情
18,2024-05-24,语言大模型青年研究员,30-60K·15薪,博士,经验不限,上海,详情
19,2024-05-22,多模态大模型训练框架工程师,20-40K·15薪,本科,经验不限,上海,详情
20,2024-05-20,技术运营,20-30K·15薪,硕士,经验不限,上海,详情
21,2024-05-15,测试开发工程师,11-22K,本科,1-3年,上海,详情
22,2024-05-14,多模态大模型青年研究员,40-70K·15薪,博士,经验不限,上海,详情
23,2024-05-14,大模型安全算法工程师,30-60K·15薪,硕士,经验不限,上海,详情
24,2024-05-14,大模型价值对齐与价值评测青年研究员,28-55K·15薪,博士,经验不限,上海,详情
25,2024-05-14,大模型框架算法工程师,28-55K·15薪,硕士,经验不限,上海,详情
26,2024-05-14,大模型安全算法青年研究员,35-65K·15薪,博士,经验不限,上海,详情
27,2024-05-14,具身智能青年研究员,20-40K·15薪,硕士,经验不限,上海,详情
28,2024-05-14,大模型价值对齐与价值评测青年工程师,20-40K·15薪,硕士,经验不限,上海,详情
29,2024-05-13,AIGC大模型工程师,20-40K·15薪,硕士,经验不限,上海,详情
30,2024-05-07,大模型开源框架算法开发工程师,25-50K·15薪,本科,经验不限,上海,详情
31,2024-05-07,多模态大模型对齐青年研究员,40-55K·15薪,博士,经验不限,上海,详情
32,2024-05-06,大模型数据清洗工程师 (派遣岗),15-25K·13薪,本科,1-3年,上海,详情
33,2024-05-06,AI智能体和沙盒算法开发工程师,18-35K·15薪,硕士,经验不限,上海,详情
34,2024-05-06,大模型数据采集工程师 (派遣岗),15-25K·13薪,本科,1-3年,上海,详情
35,2024-05-06,多模态大模型对齐研究员,30-60K·15薪,硕士,经验不限,上海,详情
36,2024-05-06,视觉传感器感知研究员,30-45K·15薪,硕士,经验不限,上海,详情
37,2024-05-06,AI训练与计算 深度学习框架研发工程师C++,25-50K·15薪,本科,经验不限,上海,详情
38,2024-05-06,大模型生态,20-40K·15薪,本科,1-3年,上海,详情
39,2024-05-04,大模型评测研究工程师,20-40K·15薪,硕士,经验不限,上海,详情
40,2024-05-04,大语言模型研究工程师,23-45K·15薪,硕士,经验不限,上海,详情
41,2024-04-26,NLP算法工程师 (派遣),18-35K·13薪,本科,经验不限,上海,详情
42,2024-04-26,大模型数据开发工程师 (派遣),18-35K·13薪,本科,1-3年,上海,详情
43,2024-04-26,通用视觉多模态青年研究员,30-60K·15薪,博士,经验不限,上海,详情
44,2024-04-26,大模型开源运营,18-35K·15薪,本科,3-5年,上海,详情
45,2024-04-26,语言大模型算法青年研究员,30-60K·15薪,博士,经验不限,上海,详情
46,2024-04-25,大模型/NLP算法工程师/青年研究员,30-60K·15薪,博士,在校/应届,上海,详情
47,2024-04-24,机器人slam算法工程师,25-50K·15薪,本科,经验不限,上海,详情
48,2024-04-24,高性能异构计算青年科学家,40-70K·15薪,硕士,5-10年,上海,详情
49,2024-04-24,大模型数据平台开发工程师,30-60K·15薪,硕士,5-10年,上海,详情
50,2024-04-24,资深后端研发工程师,30-60K·15薪,本科,5-10年,上海,详情
51,2024-04-24,大数据开发工程师 (AI Infra方向),30-60K·15薪,硕士,5-10年,上海,详情
52,2024-04-24,机器人驱动工程师,25-50K·15薪,本科,经验不限,上海,详情
53,2024-04-20,大模型研究员,35-50K,本科,1年内,北京,详情
54,2024-04-20,渗透测试开发工程师,20-40K·15薪,本科,1-3年,上海,详情
55,2024-04-20,大语音模型研发工程师,25-50K·15薪,硕士,经验不限,上海,详情
56,2024-04-19,自然语言处理大模型工程师,20-40K·15薪,本科,1-3年,上海,详情
57,2024-04-18,自然语言处理大模型工程师,25-50K·15薪,硕士,3-5年,上海,详情
58,2024-04-18,数据采集与处理工程师-苏芳济渲岛位,12-24K·13薪,本科,3-5年,上海,详情
59,2024-04-18,大模型词语规范法工程师,25-50K·15薪,硕士,3-5年,上海,详情
60,2024-04-18,大模型数据内容安全工程师,25-50K·15薪,硕士,3-5年,上海,详情
61,2024-04-18,AI前端与计算普适科学家,40-70K·15薪,硕士,5-10年,上海,详情
62,2024-04-18,大语音模型算年研究员,30-60K·15薪,博士,3-5年,上海,详情
63,2024-04-18,互联网端系引擎架构师,40-70K·15薪,硕士,5-10年,上海,详情
64,2024-04-18,大模型全栈开发工程师,25-50K·15薪,硕士,5-10年,上海,详情
65,2024-04-16,人工智能驱动生命科学算年研究员,30-45K·15薪,硕士,经验不限,上海,详情
66,2024-04-16,自然语言处理大模型算年研究员,30-50K·15薪,博士,1-3年,上海,详情
67,2024-04-14,大模型数据开发工程师,25-50K·13薪,本科,1-3年,上海,详情
68,2024-04-14,大数据开发工程师(infra方向),25-50K·15薪,本科,3-5年,上海,详情
69,2024-04-14,大模型安全全栈开发工程师,25-50K·15薪,硕士,3-5年,上海,详情
70,2024-04-14,数据采集与处理工程师,25-50K·13薪,本科,3-5年,上海,详情
71,2024-04-08,AI前端与计算深度学习机器审查算法工程师,25-50K·15薪,本科,经验不限,上海,详情
72,2024-04-06,大模型架构系集工程师,25-50K·13薪,本科,3-5年,上海,详情
73,2024-04-06,计算模型算年研究员,30-45K·15薪,硕士,经验不限,上海,详情
74,2024-04-06,分布式测度深深软件工程师,30-50K,本科,经验不限,上海,详情
75,2024-04-06,科研项目经理,13-20K·15薪,硕士,1-3年,上海,详情
76,2024-04-06,高性能计算 研究员/研究工程师/实习生,20-40K·15薪,硕士,经验不限,上海,详情
77,2024-04-06,人工智能驱动地球科学算年研究员,30-45K·15薪,博士,经验不限,上海,详情
78,2024-04-03,AI项目管理工程师,20-30K·15薪,本科,1-3年,上海,详情
79,2024-04-03,多模态算年研究员,30-60K·15薪,博士,经验不限,上海,详情
80,2024-04-03,深度学习编译研究工程师,25-50K·15薪,硕士,3-5年,上海,详情
81,2024-04-03,大语音模型算法工程师,25-50K·15薪,本科,经验不限,上海,详情
82,2024-03-29,SoC架构师,35-65K·15薪,本科,5-10年,上海,详情
83,2024-03-29,SOC设计工程师,35-65K·15薪,本科,5-10年,上海,详情
84,2024-03-28,数据平台开发工程师,20-40K·15薪,本科,经验不限,上海,详情
85,2024-03-28,通用视觉/自动驾驶算法研究员,30-50K·15薪,硕士,经验不限,北京,详情
86,2024-03-27,大模型机械技术研究员,30-50K·15薪,博士,1-3年,上海,详情
87,2024-03-27,大模型安全项目经理,18-35K·15薪,本科,3-5年,北京,详情
